Nomi,Kategoriya,Narxi,Qoldiq,Tavsif,Rasm
Lenovo ThinkPad E14 Gen 5,Noutbuklar,11200000,6,"Biznes noutbuk, ishonchli klaviatura",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600&auto=format&fit=crop&q=80
Asus VivoBook 15 OLED,Noutbuklar,8400000,9,"OLED ekran, Intel Core i5",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=80
Asus ROG Strix G16,Noutbuklar,19500000,4,"Gaming, RTX 4060, 165Hz",https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=600&auto=format&fit=crop&q=80
HP Pavilion 15,Noutbuklar,7600000,11,Kundalik ishlar uchun,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600&auto=format&fit=crop&q=80
HP Victus 16,Noutbuklar,13800000,5,"O'yin va montaj uchun, RTX 4050",https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=600&auto=format&fit=crop&q=80
Dell Inspiron 15 3520,Noutbuklar,7200000,8,Arzon va bardoshli,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600&auto=format&fit=crop&q=80
Acer Aspire 5,Noutbuklar,6500000,10,Talabalar uchun eng yaxshi tanlov,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=80
MSI Katana 15,Noutbuklar,15900000,3,"Gaming noutbuk, RTX 4060",https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=600&auto=format&fit=crop&q=80
iPad Pro 11 M4 256GB,Planshetlar,15800000,4,"M4 chip, Ultra Retina XDR",https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600&auto=format&fit=crop&q=80
iPad Air 11 M2 128GB,Planshetlar,9400000,7,Apple Pencil Pro qo'llab-quvvatlaydi,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600&auto=format&fit=crop&q=80
iPad 10.9 64GB,Planshetlar,5900000,12,O'qish va ko'ngilochar uchun,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600&auto=format&fit=crop&q=80
Samsung Galaxy Tab S9,Planshetlar,11200000,5,"AMOLED, S Pen bilan",https://images.unsplash.com/photo-1585790050230-5dd28404ccb9?w=600&auto=format&fit=crop&q=80
Samsung Galaxy Tab A9+,Planshetlar,3200000,15,Bolalar va o'quv uchun,https://images.unsplash.com/photo-1585790050230-5dd28404ccb9?w=600&auto=format&fit=crop&q=80
Xiaomi Pad 6,Planshetlar,4100000,10,"144Hz ekran, arzon narx",https://images.unsplash.com/photo-1585790050230-5dd28404ccb9?w=600&auto=format&fit=crop&q=80
Apple Watch Series 9 GPS 45mm,Aqlli soatlar,5400000,10,"Double Tap, yorqin displey",https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=600&auto=format&fit=crop&q=80
Apple Watch Ultra 2,Aqlli soatlar,11800000,4,"Titanium, 36 soat batareya",https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=600&auto=format&fit=crop&q=80
Apple Watch SE 2 40mm,Aqlli soatlar,3200000,14,Arzon Apple Watch varianti,https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=600&auto=format&fit=crop&q=80
Samsung Galaxy Watch 6,Aqlli soatlar,3900000,9,"Salomatlik sensorlari, AMOLED",https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=600&auto=format&fit=crop&q=80
Xiaomi Watch S3,Aqlli soatlar,1450000,20,14 kun batareya,https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=600&auto=format&fit=crop&q=80
Xiaomi Mi Band 8,Aqlli soatlar,450000,45,Eng ommabop fitnes bilaguzuk,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=600&auto=format&fit=crop&q=80
Amazfit GTR 4,Aqlli soatlar,2100000,12,"GPS, 14 kun ishlash",https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=600&auto=format&fit=crop&q=80
Huawei Band 9,Aqlli soatlar,590000,30,Yengil va nafis dizayn,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=600&auto=format&fit=crop&q=80
AirPods Pro 2 (USB-C),Audio texnika,2950000,25,"ANC, Shaffoflik rejimi, MagSafe",https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=600&auto=format&fit=crop&q=80
AirPods 4,Audio texnika,1850000,20,"Yangi dizayn, yaxshilangan ovoz",https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=600&auto=format&fit=crop&q=80
AirPods Max,Audio texnika,7200000,3,"Premium quloqchin, Hi-Fi ovoz",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&auto=format&fit=crop&q=80
Sony WH-1000XM5,Audio texnika,4300000,8,Eng yaxshi shovqin bostirish,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&auto=format&fit=crop&q=80
Sony WF-1000XM5,Audio texnika,3100000,10,Simsiz TWS quloqchin,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=600&auto=format&fit=crop&q=80
JBL Tune 770NC,Audio texnika,1250000,18,"70 soat batareya, ANC",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&auto=format&fit=crop&q=80
JBL Flip 6 kolonka,Audio texnika,1350000,15,Suv o'tkazmaydigan portativ kolonka,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=600&auto=format&fit=crop&q=80
JBL Charge 5,Audio texnika,1950000,12,"20 soat ishlaydi, powerbank rejimi",https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=600&auto=format&fit=crop&q=80
Marshall Emberton II,Audio texnika,2400000,6,"Klassik dizayn, kuchli bas",https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=600&auto=format&fit=crop&q=80
Xiaomi Redmi Buds 5,Audio texnika,350000,40,Arzon va sifatli TWS,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=600&auto=format&fit=crop&q=80
Anker Soundcore Life Q30,Audio texnika,890000,16,Byudjet ANC quloqchin,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&auto=format&fit=crop&q=80
Bose QuietComfort Ultra,Audio texnika,5600000,4,Premium shovqin bostirish,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&auto=format&fit=crop&q=80
Anker PowerBank 20000mAh,Aksessuarlar,450000,35,"Tez quvvatlash, 2 ta port",https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=600&auto=format&fit=crop&q=80
Anker PowerBank 10000mAh,Aksessuarlar,290000,45,Yupqa va yengil,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=600&auto=format&fit=crop&q=80
Apple MagSafe quvvatlagich,Aksessuarlar,620000,20,15W simsiz quvvatlash,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=600&auto=format&fit=crop&q=80
USB-C 65W quvvatlagich,Aksessuarlar,240000,50,Noutbuk va telefon uchun,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=600&auto=format&fit=crop&q=80
Lightning kabel 2m,Aksessuarlar,95000,80,"Original sifat, mustahkam",https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=600&auto=format&fit=crop&q=80
USB-C kabel 100W 2m,Aksessuarlar,120000,70,Tez quvvatlash va data,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=600&auto=format&fit=crop&q=80
iPhone 15 Pro silikon g'ilof,Aksessuarlar,180000,60,MagSafe bilan mos,https://images.unsplash.com/photo-1601593346740-925612772716?w=600&auto=format&fit=crop&q=80
Himoya oynasi 9H,Aksessuarlar,45000,120,Barcha modellar uchun,https://images.unsplash.com/photo-1601593346740-925612772716?w=600&auto=format&fit=crop&q=80
Avtomobil telefon ushlagichi,Aksessuarlar,85000,55,"Magnitli, mustahkam",https://images.unsplash.com/photo-1601593346740-925612772716?w=600&auto=format&fit=crop&q=80
Simsiz sichqoncha Logitech M240,Aksessuarlar,210000,30,"Bluetooth, jimjit tugmalar",https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=600&auto=format&fit=crop&q=80
Klaviatura Logitech K380,Aksessuarlar,380000,22,3 ta qurilmaga ulanadi,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=600&auto=format&fit=crop&q=80
Noutbuk sumkasi 15.6,Aksessuarlar,190000,40,Suv o'tkazmaydigan mato,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&auto=format&fit=crop&q=80
"Samsung 55"" QLED Q60C",Televizorlar,9800000,6,"4K QLED, Tizen Smart TV",https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=600&auto=format&fit=crop&q=80
"Samsung 43"" Crystal UHD",Televizorlar,5200000,10,"4K, HDR10+",https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=600&auto=format&fit=crop&q=80
"LG 55"" OLED C3",Televizorlar,16500000,3,"OLED evo, 120Hz gaming",https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=600&auto=format&fit=crop&q=80
"LG 50"" UHD UR78",Televizorlar,6100000,8,"webOS, AI ProcessorPRO",https://images.unsplash.com/photo-1461151304267-38535e780c79?w=600&auto=format&fit=crop&q=80
"Xiaomi TV A2 43""",Televizorlar,3900000,12,"Google TV, arzon narx",https://images.unsplash.com/photo-1461151304267-38535e780c79?w=600&auto=format&fit=crop&q=80
"Artel 43"" Smart TV",Televizorlar,3200000,15,"Mahalliy ishlab chiqarish, kafolat",https://images.unsplash.com/photo-1461151304267-38535e780c79?w=600&auto=format&fit=crop&q=80
"TCL 65"" QLED C645",Televizorlar,11200000,4,"Katta ekran, Dolby Vision",https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=600&auto=format&fit=crop&q=80
Dyson V15 Detect changyutgich,Maishiy texnika,9800000,4,"Simsiz, lazer chang detektori",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&auto=format&fit=crop&q=80
Xiaomi Robot Vacuum S10,Maishiy texnika,3900000,7,"Robot changyutgich, LDS navigatsiya",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&auto=format&fit=crop&q=80
Philips kofe mashinasi 3200,Maishiy texnika,4200000,5,"Avtomatik, LatteGo tizimi",https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=600&auto=format&fit=crop&q=80
Nespresso Vertuo Next,Maishiy texnika,1900000,9,Kapsulali kofe qaynatgich,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=600&auto=format&fit=crop&q=80
Samsung mikroto'lqinli pech 23L,Maishiy texnika,1450000,14,Ceramic Enamel ichki qoplama,https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=600&auto=format&fit=crop&q=80
Bosch kir yuvish mashinasi 7kg,Maishiy texnika,6800000,6,"EcoSilence Drive, A+++",https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?w=600&auto=format&fit=crop&q=80
LG kir yuvish mashinasi 8kg,Maishiy texnika,7400000,5,"AI DD texnologiyasi, bug'",https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?w=600&auto=format&fit=crop&q=80
Samsung muzlatgich 360L,Maishiy texnika,9200000,4,"No Frost, Digital Inverter",https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=600&auto=format&fit=crop&q=80
Artel muzlatgich 300L,Maishiy texnika,5100000,8,"Mahalliy, 3 yil kafolat",https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=600&auto=format&fit=crop&q=80
Philips havo namlagich,Maishiy texnika,1250000,12,Xona havosini yaxshilaydi,https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=600&auto=format&fit=crop&q=80
Tefal elektr choynak 1.7L,Maishiy texnika,320000,30,Zanglamaydigan po'lat,https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=600&auto=format&fit=crop&q=80
Bosch blender 800W,Maishiy texnika,680000,18,"Kuchli motor, ko'p rejimli",https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=600&auto=format&fit=crop&q=80
Xiaomi havo tozalagich 4 Lite,Maishiy texnika,2100000,9,"HEPA filtr, ilova bilan",https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=600&auto=format&fit=crop&q=80
Redmond multipishirgich,Maishiy texnika,890000,16,"40 ta dastur, 5L hajm",https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=600&auto=format&fit=crop&q=80
Canon EOS R50 kit,Fotoapparatlar,9800000,4,"Mirrorless, 24MP, 4K video",https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=600&auto=format&fit=crop&q=80
Sony Alpha A6400 kit,Fotoapparatlar,12400000,3,"Tez avtofokus, bloger uchun",https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=600&auto=format&fit=crop&q=80
Nikon Z50 kit,Fotoapparatlar,11200000,2,APS-C mirrorless,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=600&auto=format&fit=crop&q=80
GoPro HERO12 Black,Fotoapparatlar,5600000,6,"5.3K video, suvga chidamli",https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=600&auto=format&fit=crop&q=80
DJI Osmo Pocket 3,Fotoapparatlar,6200000,5,"Gimbal kamera, 1-dyuym sensor",https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=600&auto=format&fit=crop&q=80
PlayStation 5 Slim,O'yin konsollari,8900000,6,"Disk versiyasi, DualSense",https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=600&auto=format&fit=crop&q=80
PlayStation 5 DualSense joystik,O'yin konsollari,950000,20,"Haptik javob, adaptiv triggerlar",https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=600&auto=format&fit=crop&q=80
Xbox Series S 512GB,O'yin konsollari,4900000,8,"Kompakt, Game Pass uchun ideal",https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=600&auto=format&fit=crop&q=80
Nintendo Switch OLED,O'yin konsollari,5200000,5,7 dyuym OLED ekran,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=600&auto=format&fit=crop&q=80
Nike Air Max 270,Kiyim va poyabzal,1850000,15,"Original, qulay va yengil",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600&auto=format&fit=crop&q=80
Adidas Ultraboost 22,Kiyim va poyabzal,2100000,12,Yugurish uchun professional,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=600&auto=format&fit=crop&q=80
Nike Dri-FIT sport futbolka,Kiyim va poyabzal,420000,40,Terni tez quritadi,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&auto=format&fit=crop&q=80
Adidas sport shim,Kiyim va poyabzal,580000,25,"Paxta aralashmasi, qulay",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&auto=format&fit=crop&q=80
Puma RS-X krossovka,Kiyim va poyabzal,1450000,18,Zamonaviy dizayn,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=600&auto=format&fit=crop&q=80
The North Face kurtka,Kiyim va poyabzal,2900000,8,Qish uchun issiq va yengil,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=600&auto=format&fit=crop&q=80
